AppId,Title,group,Nb_Reviews,Latest_Review_Date,Nb_Installs,Free,eligible
com.unbound.android.oxfordclinical,Oxford Clinical Medicine,,13,2025-08-25,"10,000+",True,False
com.medpresso.Lonestar.mosbyproc,Nursing Skills & Procedures,,13,2025-08-08,"50,000+",True,False
org.capacitor.fundamentals.app,Fundamentals of Nursing Quiz,,0,,"5,000+",True,False
com.keepprep.fundamentals,Fundamentals of Nursing Prep,,3,2025-08-09,"10,000+",True,False
com.TallinnIT.UBCRadiology,UBC Radiology,,71,2023-05-21,"100,000+",True,False
com.msd.obstetrics,MSD Manual Guide to Obstetrics,HSP,52,2025-08-07,"10,000+",True,True
com.gwhizmobile.langeqapsychiatry,Psychiatry LANGE Q&A,,8,2021-12-06,"10,000+",True,False
com.genux.coherence,Cardiac Coherence Relax &Sleep,,4,2024-07-07,"1,000+",True,False
com.ptwired.elliott,Elliott Physical Therapy,,2,2025-06-03,"1,000+",True,False
org.plumvillageapp,Plum Village: Mindfulness App,HSC,100,2025-09-03,"100,000+",True,True
com.mdaware.mdcalc,MDCalc Medical Calculator,HSP,100,2025-08-23,"1,000,000+",True,True
com.boardvitals,BoardVitals Medical Exam Prep,HSP,100,2025-07-30,"10,000+",True,True
com.drhouse.drhouse,DrHouse: Online Doctor Service,HSC,100,2025-08-24,"10,000+",True,True
com.unbound.android.ubap,APSA Pediatric Surgery Library,,14,2025-04-14,"5,000+",True,False
com.spruce.messenger,Spruce: Medical Communication,HSP,100,2025-09-04,"500,000+",True,True
appinventor.ai_doctorbishoy.Master_The_MRCS,Surgery Masters Academy,HSP,100,2025-07-21,"10,000+",True,True
com.medpresso.testzapp.medsurgnurcertqa,Medical Surgical Nurse Cert Ex,,8,2025-07-27,"1,000+",True,False
com.netpulse.mobile.thewellnesscenter,The Wellness Center,,10,2024-01-09,"1,000+",True,False
com.babycenter.pregnancytracker,Pregnancy App & Baby Tracker,HSC,100,2025-09-04,"10,000,000+",True,True
com.hevy,Hevy - Gym Log Workout Tracker,other,100,2025-09-04,"1,000,000+",True,True
com.popularapp.periodcalendar,Period Calendar Period Tracker,,100,2025-09-04,"100,000,000+",True,False
com.recoverypath,Recovery Path - Addiction Help,HSC,100,2025-08-30,"100,000+",True,True
com.gwhizmobile.mghpretestneurology,Neurology PreTest for USMLE,,6,2025-05-17,"10,000+",True,False
com.lbrc.PeriodCalendar,Period Tracker and Calendar,HSC,100,2025-09-04,"10,000,000+",True,True
com.grandroundshealth.m,Included Health,HSP,100,2025-09-04,"100,000+",True,True
com.lawfully.lawfully_ai_tracker,US Immigration Case Tracker,other,100,2025-09-03,"1,000,000+",True,True
periodtracker.pregnancy.ovulationtracker,Ovulation & Period Tracker,HSC,100,2025-09-03,"10,000,000+",True,True
com.gwhizmobile.mghpretestpediatrics,Pediatrics PreTest for USMLE,,9,2024-04-16,"5,000+",True,False
com.unbound.android.ubnc2l,Nursing Central,HSP,100,2025-08-05,"50,000+",True,True
com.elytelabs.neurologydictionary,Neurology Dictionary,,1,2024-02-24,"1,000+",True,False
com.modernhealth.modernhealth,Modern Health,other,96,2025-08-18,"100,000+",True,True
com.goodrx,GoodRx: Prescription Coupons,HSC,100,2025-09-04,"10,000,000+",True,True
com.remind.drink.water.hourly,Water Reminder - Remind Drink ,HSC,100,2025-09-04,"10,000,000+",True,True
com.doctoranywhere,Doctor Anywhere - Telehealth,HSC,100,2025-09-04,"1,000,000+",True,True
com.imagoai.labs,Lab Values Reference - Nursing,,25,2025-09-01,"10,000+",True,False
com.pravisht.MhbMobile,MyHealthBuddy: Diet & Fitness,HSC,100,2025-09-03,"100,000+",True,True
com.alphaprogression.alphaprogression,Alpha Progression Gym Tracker,HSC,100,2025-09-03,"1,000,000+",True,True
com.meditation.live,Wellness Coach,other,100,2025-08-03,"100,000+",True,True
com.brc.PeriodTrackerDiary,Period Tracker & Ovulation,HSC,100,2025-09-02,"1,000,000+",True,True
running.tracker.gps.map,Running App - GPS Run Tracker,HSC,100,2025-09-04,"10,000,000+",True,True
com.QuickMD.md,QuickMD - Online Healthcare,HSC,100,2025-09-03,"100,000+",True,True
com.medlang.medicalenglish,Doxa - Medical English,,44,2025-09-03,"100,000+",True,False
org.endocrine.clinical_practice_guidelines_app,Clinical Practice Guidelines,,32,2025-04-26,"10,000+",True,False
com.villagemd.patx,Village Medical,HSC,100,2025-09-04,"100,000+",True,True
com.app.calibrate,Calibrate - Metabolic Health,HSC,100,2025-09-04,"10,000+",True,True
gov.va.mobilehealth.ncptsd.mindfulnesscoach,Mindfulness Coach,HSC,100,2025-09-04,"500,000+",True,True
