AppId,Title,Target_Users
br.com.youper,Youper: AI Mental Health,1 Patients / Health-conscious Individuals
net.imaios.eanatomy,IMAIOS e-Anatomy,2 Healthcare Professionals / Medical Students
com.soft24hours.medical.terminology.dictionary.search.terms.vocabulary,Medical Terminology Dictionary,2 Healthcare Professionals / Medical Students
com.bestfuncoolapps.TakeYourPills,TakeYourPills Pill Reminder,1 Patients / Health-conscious Individuals
bot.touchkin,Wysa: Mental Wellbeing AI,1 Patients / Health-conscious Individuals
com.ada.app,Ada  check your health,1 Patients / Health-conscious Individuals
com.medicaldictionary.diseasestreatment,Medical Dictionary: Diseases,2 Healthcare Professionals / Medical Students
com.visual3dscience.organs,My Organs Anatomy,2 Healthcare Professionals / Medical Students
com.ochsner.digitalmedicine,Digital Medicine,1 Patients / Health-conscious Individuals
com.betterhelp,BetterHelp - Therapy,1 Patients / Health-conscious Individuals
com.cliniconline,Medical Records,3 Other / Unclear Audience
com.mdaware.mdcalc,MDCalc Medical Calculator,2 Healthcare Professionals / Medical Students
com.blueberrypediatrics.blueberrypediatrics,Blueberry Pediatrics,1 Patients / Health-conscious Individuals
com.AnatomyLearning.Anatomy3DViewer3,Anatomy Learning - 3D Anatomy,2 Healthcare Professionals / Medical Students
com.careaide,Meds & Pill Reminder: CareAide,1 Patients / Health-conscious Individuals
com.habits.todolist.plan.wish,Fun Habit - Habit Tracker,3 Other / Unclear Audience
com.cube.arc.hzd,Emergency: Severe Weather App,3 Other / Unclear Audience
com.labstyle.darioandroid,Dario Health,1 Patients / Health-conscious Individuals
com.cerebral.cerebral,Cerebral - Mental Health,1 Patients / Health-conscious Individuals
com.medicalgroupsoft.medical.directorymedtermsmultilang.free,Medical Terminology Dictionary,2 Healthcare Professionals / Medical Students
com.apalon.to.do.list,Productive - Habit tracker,3 Other / Unclear Audience
com.phonegap.rxpal,PharmEasy: Doorstep Healthcare,1 Patients / Health-conscious Individuals
com.free.nurse.rush.clinic,Nurse Rush:Hospital Game,3 Other / Unclear Audience
